AcceptedAnswerId,Answer
"56214","<p>you'll have to do both the remove and ignore operation</p>

<ul>
<li>first make a backup of your local file (like @ibz said)</li>
<li>then remove the web.config from the repository.</li>
<li>then copy back the web.config to the same folder</li>
<li>finally use svn:ignore so that subversion does not try to add it again to the repository</li>
</ul>

<p>since i use tortoisesvn i can't really tell you what svn commands you have to use, but using tortoisesvn it would be:</p>

<ul>
<li>make backup</li>
<li>right click on web.config on the folder under source control, select TortoiseSVN | Delete</li>
<li>right click on web.config on the folder under source control, select SVN Commit => after this you will notice that the file is actually deleted from the file system</li>
<li>move up and right click on the folder under source control, select TortoiseSVN | Properties</li>
<li>on the properties window click new + property name ""svn:ignore""; property value ""web.config"". accept changes</li>
<li>commit changes</li>
</ul>

<p>on my .net projects i include the following exclusion with svn:ignore: bin, obj, *.suo, *.user</p>
"
"98021","<p>Several people misread this as a question about how to <strong>store</strong> passwords in a database.  That is wrong.  It is about how to store the password that lets you get <strong>to</strong> the database.</p>

<p>The usual solution is to move the password out of source-code into a configuration file.  Then leave administration and securing that configuration file up to your system administrators.  That way developers do not need to know anything about the production passwords, and there is no record of the password in your source-control.</p>
"
"157975","<p><a href=""https://docs.python.org/3/library/base64.html"" rel=""noreferrer"">Base64 encoding</a> is in the standard library and will do to stop shoulder surfers:</p>

<pre><code>&gt;&gt;&gt; import base64
&gt;&gt;&gt;  print(base64.b64encode(""password"".encode(""utf-8"")))
cGFzc3dvcmQ=
&gt;&gt;&gt; print(base64.b64decode(""cGFzc3dvcmQ="").decode(""utf-8""))
password
</code></pre>
"
"419418","<p>Do not EVER hard-code configuration data like file system paths and force multiple deployments to match.  That is the dark side, where there is much SUFFERING.</p>

<p>I find it useful and easy to build my systems to support multiple configurations easily, and I routinely commit configuration files into source control side-by-side, but production's is obfuscated (no real passwords) and development's is templated (so a checkout can't overwrite a developer's configuration).  The code is always packaged in a configuration-neutral manner--the same binary can be deployed anywhere.</p>

<p>Unfortunately, most language/development platforms do not readily support this (unlike Ruby on Rails).  Therefore, you have to build it yourself, to varying degrees.</p>

<p>In general, the basic principle is to incorporate indirection into your configuration:  specify not the configuration, but how to find the configuration, in your code.  And generally invoke several indirections:  user-specific, application-specific, machine-specific, environment-specific.  Each should be found in a well-defined place/manner, and there should be a very-well-defined precedence among them (usually user over machine over application over environment).  You will generally find that every configurable setting has a natural home in one location, but don't hard-code that dependency into your applications.</p>

<p>I find that it is VERY valuable to design applications to be able to report their configuration, and to verify it.  In most cases, a missing or invalid configuration item should result in aborting the application.  As much as possible, perform that verification (and abort) at startup = fail fast.  Hard-code defaults only when they can reliably be used.</p>

<p>Abstract the configuration access so that most of the application has no idea where it comes from or how it is processed.  I prefer to create <code>Config</code> classes that expose configurable settings as individual properties (strongly typed when relevant), then I ""inject"" them into application classes via IOC.  Do not make all your application classes directly invoke the raw configuration framework of your chosen platform; abstraction is your friend.</p>

<p>In most enterprise-class (Fortune 500) organizations, no one sees the production (or even test) environment configurations except the admin team for that environment.  Configuration files are never deployed in a release, they are hand-edited by the admin team.  The relevant configuration files certainly never get checked into source control side-by-side with the code.  The admin team may use source control, but it is their own private repository.  Sarbanes-Oxley and similar regulations also tend to strictly forbid developers from having general access to (near-)production systems or any sensitive configuration data.  Be mindful as you design your approach.</p>

<p>Enjoy.</p>
"
"559743","<p>If your plan is to store all the code and configuration information to run a production system directly from version control, and without human intervention, you're screwed.  Why?  This is all just a violation of the old security axiom ""never write your password down"".  Let's do a proof by negation.</p>

<p>First cut, you have plain text passwords in the configuration files.  That's no good, they can be read by anyone who can see the files.</p>

<p>Second cut, we'll encrypt the passwords!  But now the code needs to know how to decrypt the passwords, so you need to put the decryption key somewhere in the code.  The problem has just been pushed down a level.</p>

<p>How about using public/private keys?  Same problem as the passwords, the key has to be in the code.</p>

<p>The use of a local configuration file not stored in version control still puts the password, and the means to read them if they're encrypted, on disk and available to an attacker.  You can harden things a little by ensuring that configuration file's permissions are very limited, but should the box be rooted you're screwed.</p>

<p>Which brings us to why putting passwords on disk is a bad idea.  It violates the concept of a security firewall.  One compromised machine containing login information means other machines will be compromised.  One poorly maintained machine can tear down your whole organization.</p>

<p>At some point a human is going to have to inject the critical secret to start the chain of trust going.  What you could do is encrypt all the secrets in the code and then when the system starts up have a human manually enter the key to decrypt all the passwords.  This is like the master password system Firefox uses.  It is open to abuse since once that one password is compromised, many systems may be compromised, but it is convenient and probably more secure since users only have to remember one password and are less likely to write it down.</p>

<p>The final touch is to ensure that should the login information be compromised (and you should always assume that it will be) that A) the attacker can't do much with it and B) you can quickly shut down the compromised accounts.  The former means to only give the accounts as much access as they need.  For example, if your program only ever needs to read from a database have it log in on an account restricted to SELECT.  In general, remove all access and then add it only as necessary.  Be stingy about the rights to delete lest you get a visit from <a href=""http://xkcd.com/327/"" rel=""noreferrer"">little Bobby Tables</a>.</p>

<p>The latter means you give each user/organization/project their own login, even if they can have the exact same rights and privileges and access the same data.  It's a bit more of a hassle, but it means that if one system is compromised you can quickly shut down that account without shutting down your whole business.</p>
"
"658520","<p>Although my answer is not specific to source control, one thing you may want to consider is adding custom config sections to your web.config, and retrieving a different configuration depending on the location (server it is deployed on).</p>

<p>I do this currently to deal with deployment to staging, testing, production servers.  My configuration classes will determine what the server name is, and retrieve the configuration settings for that particular server.  That way, I don't have to worry about touching the web.config again, or excluding it and using different files.</p>

<p>Here is an article on how to do this.  Yes it is not exactly what you asked, but may be better than relying on source control and using different config files.</p>

<p><a href=""https://web.archive.org/web/20210802144254/https://aspnet.4guysfromrolla.com/articles/032807-1.aspx"" rel=""nofollow noreferrer"">https://web.archive.org/web/20210802144254/https://aspnet.4guysfromrolla.com/articles/032807-1.aspx</a></p>
"
"681265","<p>I second <em>Emil H</em> proposal with one addition:
you should ignore via <strong>svn:ignore</strong>-property the correct configuration file</p>

<p>eg your config-file should reside on:</p>

<pre><code>./config/app.conf
</code></pre>

<p>then you should ignore this file for subversion: </p>

<pre><code>svn propset svn:ignore ""app.conf"" ./conf
</code></pre>

<p>and copy the app.conf to app.conf.example and add this file to subversion:
   cp app.conf app.conf.example
   svn add app.conf.example</p>

<p>Now Subversion will never try to add your app.conf file to your repository(and also your colleagues cannot accidentially commit this file!)</p>
"
"706985","<p>You should place your config files in</p>

<pre><code>/path/to/deployed_app/shared
</code></pre>

<p>Then in a capistrano task, sym link to those files:</p>

<pre><code>namespace :deploy do
  task :symlink_shared do
    run ""ln -s #{shared_path}/database.yml #{release_path}/config/""
  end
end

before ""deploy:restart"", ""deploy:symlink_shared""
</code></pre>
"
"816751","<p>The ""standard"" procedure for this is something like this (forgiving the SVN syntax, I've been using <a href=""http://en.wikipedia.org/wiki/Bazaar_%28software%29"" rel=""nofollow noreferrer"">Bazaar</a> lately):</p>

<pre><code>echo config &gt; database.xml.template
svn add database.xml.template
svn ignore database.xml
svn commit
</code></pre>

<p>Then on each person's development machine:</p>

<pre><code>svn checkout
cp database.xml.template database.xml
...edit database.xml...
</code></pre>

<p>And when they commit,</p>

<pre><code>echo foo &gt; someotherfile
svn commit
</code></pre>

<p>the <code>database.xml</code> file won't be added to Subversion.</p>
"
"872700","<p>For all practical purposes, the <em>first</em> thing you should be worried about is <strong>CHANGING YOUR PASSWORDS!</strong> It's not clear from your question whether your git repository is entirely local or whether you have a remote repository elsewhere yet; if it is remote and not secured from others you have a problem. If anyone has cloned that repository before you fix this, they'll have a copy of your passwords on their local machine, and there's no way you can force them to update to your ""fixed"" version with it gone from history. The only safe thing you can do is change your password to something else everywhere you've used it.</p>

<hr>

<p>With that out of the way, here's how to fix it. <a href=""https://help.github.com/articles/remove-sensitive-data"" rel=""noreferrer"" title=""Remove sensitive data - GitHub Help"">GitHub answered exactly that question as an FAQ</a>:</p>

<p><strong>Note for Windows users</strong>: use double quotes ("") instead of singles in this command
</p>

<pre><code>git filter-branch --index-filter \
'git update-index --remove PATH-TO-YOUR-FILE-WITH-SENSITIVE-DATA' &lt;introduction-revision-sha1&gt;..HEAD
git push --force --verbose --dry-run
git push --force
</code></pre>

<p><strong>Update 2019:</strong></p>

<p>This is the current code from the FAQ:</p>

<pre><code>  git filter-branch --force --index-filter \
  ""git rm --cached --ignore-unmatch PATH-TO-YOUR-FILE-WITH-SENSITIVE-DATA"" \
  --prune-empty --tag-name-filter cat -- --all
  git push --force --verbose --dry-run
  git push --force
</code></pre>

<p>Keep in mind that once you've pushed this code to a remote repository like GitHub and others have cloned that remote repository, you're now in a situation where you're rewriting history. When others try pull down your latest changes after this, they'll get a message indicating that the changes can't be applied because it's not a fast-forward. </p>

<p>To fix this, they'll have to either delete their existing repository and re-clone it, or follow the instructions under ""RECOVERING FROM UPSTREAM REBASE"" in the <a href=""http://git-scm.com/docs/git-rebase"" rel=""noreferrer"">git-rebase manpage</a>.</p>

<p><strong>Tip</strong>: Execute <code>git rebase --interactive</code></p>

<hr>

<p>In the future, if you accidentally commit some changes with sensitive information but you notice <strong>before</strong> pushing to a remote repository, there are some easier fixes. If you last commit is the one to add the sensitive information, you can simply remove the sensitive information, then run:</p>

<pre><code>git commit -a --amend
</code></pre>

<p>That will amend the previous commit with any new changes you've made, including entire file removals done with a <code>git rm</code>. If the changes are further back in history but still not pushed to a remote repository, you can do an interactive rebase:</p>

<pre><code>git rebase -i origin/master
</code></pre>

<p>That opens an editor with the commits you've made since your last common ancestor with the remote repository. Change ""pick"" to ""edit"" on any lines representing a commit with sensitive information, and save and quit. Git will walk through the changes, and leave you at a spot where you can:</p>

<pre><code>$EDITOR file-to-fix
git commit -a --amend
git rebase --continue
</code></pre>

<p>For each change with sensitive information. Eventually, you'll end up back on your branch, and you can safely push the new changes.</p>
"
